Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Maryland,5/24/21,"90,090","90,090"
Pennsylvania,5/24/21,"170,820","170,820"
Philadelphia,5/24/21,"24,570","24,570"
Virginia,5/24/21,"126,360","126,360"
West Virginia,5/24/21,"28,080","28,080"
Alabama,5/24/21,"72,540","72,540"
Florida,5/24/21,"314,730","314,730"
Georgia,5/24/21,"149,760","149,760"
Kentucky,5/24/21,"66,690","66,690"
Mississippi,5/24/21,"44,460","44,460"
North Carolina,5/24/21,"150,930","150,930"
South Carolina,5/24/21,"74,880","74,880"
Tennessee,5/24/21,"99,450","99,450"
Chicago,5/24/21,"40,950","40,950"
Illinois,5/24/21,"149,760","149,760"
Indiana,5/24/21,"97,110","97,110"
Michigan,5/24/21,"148,590","148,590"
Minnesota,5/24/21,"81,900","81,900"
Ohio,5/24/21,"173,160","173,160"
Wisconsin,5/24/21,"86,580","86,580"
Arkansas,5/24/21,"44,460","44,460"
Louisiana,5/24/21,"69,030","69,030"
New Mexico,5/24/21,"31,590","31,590"
Oklahoma,5/24/21,"57,330","57,330"
Texas,5/24/21,"394,290","394,290"
Iowa,5/24/21,"46,800","46,800"
Kansas,5/24/21,"42,120","42,120"
Missouri,5/24/21,"90,090","90,090"
Nebraska,5/24/21,"28,080","28,080"
Colorado,5/24/21,"81,900","81,900"
Montana,5/24/21,"16,380","16,380"
North Dakota,5/24/21,"11,700","11,700"
South Dakota,5/24/21,"12,870","12,870"
Utah,5/24/21,"40,950","40,950"
Wyoming,5/24/21,"9,360","9,360"
Arizona,5/24/21,"102,960","102,960"
California,5/24/21,"575,640","575,640"
Hawaii,5/24/21,"22,230","22,230"
Nevada,5/24/21,"43,290","43,290"
American Samoa,5/24/21,0,0
Guam,5/24/21,0,0
Marshall Islands,5/24/21,0,0
Micronesia,5/24/21,0,0
Mariana Islands,5/24/21,0,0
Palau,5/24/21,0,0
Alaska,5/24/21,"16,380","16,380"
Idaho,5/24/21,"24,570","24,570"
Oregon,5/24/21,"62,010","62,010"
Washington,5/24/21,"109,980","109,980"
Federal Entities,5/24/21,"218,790","218,790"
Connecticut,5/17/21,"54,990","54,990"
Maine,5/17/21,"21,060","21,060"
Massachusetts,5/17/21,"105,300","105,300"
New Hampshire,5/17/21,"21,060","21,060"
Rhode Island,5/17/21,"16,380","16,380"
Vermont,5/17/21,"10,530","10,530"
New Jersey,5/17/21,"132,210","132,210"
New York,5/17/21,"168,480","168,480"
New York City,5/17/21,"128,700","128,700"
Puerto Rico,5/17/21,"52,650","52,650"
U.S. Virgin Islands,5/17/21,"2,340","2,340"
Delaware,5/17/21,"15,210","15,210"
District of Columbia,5/17/21,"11,700","11,700"
Maryland,5/17/21,"90,090","90,090"
Pennsylvania,5/17/21,"170,820","170,820"
Philadelphia,5/17/21,"24,570","24,570"
Virginia,5/17/21,"126,360","126,360"
West Virginia,5/17/21,"28,080","28,080"
Alabama,5/17/21,"72,540","72,540"
Florida,5/17/21,"314,730","314,730"
Georgia,5/17/21,"149,760","149,760"
Kentucky,5/17/21,"66,690","66,690"
Mississippi,5/17/21,"44,460","44,460"
North Carolina,5/17/21,"150,930","150,930"
South Carolina,5/17/21,"74,880","74,880"
Tennessee,5/17/21,"99,450","99,450"
Chicago,5/17/21,"40,950","40,950"
